"logFC","AveExpr","t","P.Value","adj.P.Val","B"
-2.23305998657966,1.33332122957564,-2.12139460615141,0.0429529274012764,0.429383547371878,-3.7162585650532
-1.6739446512966,4.47217903716219,-3.13020482222891,0.00408446206138337,0.346377270056899,-1.96041867613894
-1.58502731385759,2.7209728833761,-2.67497577150097,0.0123844759699838,0.361902765526877,-2.79636991387545
-1.48665857085967,2.81271493775087,-3.15035171840642,0.00388314339070301,0.346377270056899,-1.92218398868248
-1.40312065473428,0.95787632010762,-3.11959394317712,0.00419446741098865,0.346377270056899,-1.98051959714392
-1.33976565029422,1.8189911356079,-3.71133507107943,0.000914907266888313,0.346377270056899,-0.828419873551677
-1.31649195178258,2.8212570008458,-2.09521412134694,0.045399090292396,0.439336135410856,-3.75643719990852
-1.30234245446926,2.63285012533834,-2.72766845025589,0.0109307650395305,0.359743932310503,-2.70272123188548
-1.26438295405887,1.68983673596697,-2.72312561745693,0.0110495065352135,0.359743932310503,-2.71083090109065
-1.26242489835723,3.01786491268604,-3.5213510047076,0.0015038183417794,0.346377270056899,-1.20414324780659
-1.25961314345967,5.76721194784061,-2.06112907338899,0.048768905298121,0.442135525554804,-3.80823924530031
-1.19570144633962,2.26402421327038,-4.25373394803218,0.000215129176744344,0.346377270056899,0.259990250798949
-1.1679849301792,2.88447332929959,-2.27245379521413,0.0310031147224801,0.403310229840667,-3.47807475252669
-1.13404702363633,3.21911717217465,-2.65724724514463,0.0129128741831116,0.363646404700934,-2.82766986768598
-1.11987302336751,2.25503251770956,-2.08590056224928,0.046298710310486,0.440123429873211,-3.77064921520773
-1.04665120883324,3.20877155682031,-2.69500173009028,0.011811913831664,0.361902765526877,-2.76088660671856
-1.03820070472388,0.836153600346263,-2.18615987166988,0.0373993588430561,0.419511319799329,-3.61544301892446
-1.01612259140928,2.54131801063159,-2.40963111910705,0.0228504218594967,0.383609562523476,-3.25296002435755
-1.01157733245498,6.43770636700762,-3.96701369600725,0.000464467537405088,0.346377270056899,-0.317294230024038
-1.01025763252245,2.63821160934822,-3.53501001448899,0.00145136307798506,0.346377270056899,-1.17727957913731
